"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"AMP_AND_FILTER:C5","C0603","-52.1mm","148.6mm","-52.1mm","148.6mm","-52.1mm","148.6mm","T","0.0","100nF"
"AMP_AND_FILTER:C6","C0603","-72.4mm","148.6mm","-72.4mm","148.6mm","-72.4mm","148.6mm","T","0.0","10nF"
"AMP_AND_FILTER:C7","C0603","-92.7mm","148.6mm","-92.7mm","148.6mm","-92.7mm","148.6mm","T","0.0","1uF"
"AMP_AND_FILTER:C8","C0603","-113.0mm","148.6mm","-113.0mm","148.6mm","-113.0mm","148.6mm","T","0.0","1uF"
"AMP_AND_FILTER:IC1","SOIC127P599X175-8N","-22.9mm","149.9mm","-22.9mm","149.9mm","-22.9mm","149.9mm","T","0.0","LT1167CS8-1#PBF"
"AMP_AND_FILTER:IC2","SOT95P280X145-5N","-85.1mm","154.9mm","-85.1mm","154.9mm","-85.1mm","154.9mm","T","0.0","TLV9101IDBVR"
"AMP_AND_FILTER:R1","R0603","-31.8mm","156.2mm","-31.8mm","156.2mm","-31.8mm","156.2mm","T","0.0","100"
"AMP_AND_FILTER:R4","R0603","-52.1mm","156.2mm","-52.1mm","156.2mm","-52.1mm","156.2mm","T","0.0","10000"
"AMP_AND_FILTER:R5","R0603","-72.4mm","156.2mm","-72.4mm","156.2mm","-72.4mm","156.2mm","T","0.0","10000"
"BANDGAP_REF:IC1","SOT95P280X145-5N","-21.6mm","143.5mm","-21.6mm","143.5mm","-21.6mm","143.5mm","T","0.0","TLV9101IDBVR"
"BANDGAP_REF:Q1","SOIC127P602X175-14N","-21.6mm","135.9mm","-21.6mm","135.9mm","-21.6mm","135.9mm","T","0.0","300S14-U"
"BANDGAP_REF:Q2","SOIC127P602X175-14N","-39.4mm","135.9mm","-39.4mm","135.9mm","-39.4mm","135.9mm","T","0.0","300S14-U"
"BANDGAP_REF:R1","R0603","-64.8mm","133.3mm","-64.8mm","133.3mm","-64.8mm","133.3mm","T","0.0","40000"
"BANDGAP_REF:R2","R0603","-82.5mm","133.3mm","-82.5mm","133.3mm","-82.5mm","133.3mm","T","0.0","1800"
"BANDGAP_REF:R3","R0603","-100.3mm","133.3mm","-100.3mm","133.3mm","-100.3mm","133.3mm","T","0.0","1800"
"BANDGAP_REF:R4","R0603","-118.1mm","133.3mm","-118.1mm","133.3mm","-118.1mm","133.3mm","T","0.0","100"
"BATTERY_AND_BUCK:C1","C0603","-59.7mm","102.9mm","-59.7mm","102.9mm","-59.7mm","102.9mm","T","0.0","10uF"
"BATTERY_AND_BUCK:C2","C0603","-83.8mm","102.9mm","-83.8mm","102.9mm","-83.8mm","102.9mm","T","0.0","22uF"
"BATTERY_AND_BUCK:C2_2","C0603","-108.0mm","90.2mm","-108.0mm","90.2mm","-108.0mm","90.2mm","T","0.0","22uF"
"BATTERY_AND_BUCK:C3","C0603","-108.0mm","102.9mm","-108.0mm","102.9mm","-108.0mm","102.9mm","T","0.0","100nF"
"BATTERY_AND_BUCK:C5","C0603","-35.6mm","108.0mm","-35.6mm","108.0mm","-35.6mm","108.0mm","T","0.0","3.3nF"
"BATTERY_AND_BUCK:C6","C0603","-59.7mm","108.0mm","-59.7mm","108.0mm","-59.7mm","108.0mm","T","0.0","47uF"
"BATTERY_AND_BUCK:IC1","SOIC127P600X163-9N","-72.4mm","91.4mm","-72.4mm","91.4mm","-72.4mm","91.4mm","T","0.0","AP64350SP-13"
"BATTERY_AND_BUCK:L1","WE-TPC_5818/582892","-44.5mm","94.0mm","-44.5mm","94.0mm","-44.5mm","94.0mm","T","0.0","3uH"
"BATTERY_AND_BUCK:R1","R0603","-83.8mm","108.0mm","-83.8mm","108.0mm","-83.8mm","108.0mm","T","0.0","143k"
"BATTERY_AND_BUCK:R2","R0603","-108.0mm","108.0mm","-108.0mm","108.0mm","-108.0mm","108.0mm","T","0.0","22.1k"
"BATTERY_AND_BUCK:R5","R0603","-35.6mm","113.0mm","-35.6mm","113.0mm","-35.6mm","113.0mm","T","0.0","14k"
"BATTERY_AND_BUCK:RT","R0603","-35.6mm","102.9mm","-35.6mm","102.9mm","-35.6mm","102.9mm","T","0.0","200k"
"C1","C0603","-83.8mm","203.2mm","-83.8mm","203.2mm","-83.8mm","203.2mm","T","0.0","1uF"
"C2","C0603","-88.9mm","203.2mm","-88.9mm","203.2mm","-88.9mm","203.2mm","T","0.0","1uF"
"C3","C0603","-111.8mm","194.3mm","-111.8mm","194.3mm","-111.8mm","194.3mm","T","0.0","22uF"
"C4","C0603","-85.1mm","194.3mm","-85.1mm","194.3mm","-85.1mm","194.3mm","T","0.0","100nF"
"C5","C0603","-118.1mm","194.3mm","-118.1mm","194.3mm","-118.1mm","194.3mm","T","0.0","22uF"
"C6","C0603","-94.0mm","203.2mm","-94.0mm","203.2mm","-94.0mm","203.2mm","T","0.0","1uF"
"C7","C0603","-99.1mm","203.2mm","-99.1mm","203.2mm","-99.1mm","203.2mm","T","0.0","1uF"
"DUAL_SLOPE_ADC:C1","C0603","-33.0mm","184.2mm","-33.0mm","184.2mm","-33.0mm","184.2mm","T","0.0","10nF"
"DUAL_SLOPE_ADC:C2","C0603","-54.6mm","184.2mm","-54.6mm","184.2mm","-54.6mm","184.2mm","T","0.0","0.1uF"
"DUAL_SLOPE_ADC:IC1","SOT95P280X145-5N","-110.5mm","184.2mm","-110.5mm","184.2mm","-110.5mm","184.2mm","T","0.0","TLV9101IDBVR"
"DUAL_SLOPE_ADC:IC3","SOT95P280X145-5N","-24.1mm","189.2mm","-24.1mm","189.2mm","-24.1mm","189.2mm","T","0.0","TLV9021QDBVRQ1"
"DUAL_SLOPE_ADC:IC4","SOT95P280X145-6N","-45.7mm","189.2mm","-45.7mm","189.2mm","-45.7mm","189.2mm","T","0.0","TMUX1119DBVR"
"DUAL_SLOPE_ADC:IC5","SOT95P280X145-6N","-67.3mm","189.2mm","-67.3mm","189.2mm","-67.3mm","189.2mm","T","0.0","TMUX1119DBVR"
"DUAL_SLOPE_ADC:R1","R0603","-76.2mm","184.2mm","-76.2mm","184.2mm","-76.2mm","184.2mm","T","0.0","2500"
"DUAL_SLOPE_ADC:R2","R0603","-97.8mm","184.2mm","-97.8mm","184.2mm","-97.8mm","184.2mm","T","0.0","10000"
"F11","R0603","-59.7mm","194.3mm","-59.7mm","194.3mm","-59.7mm","194.3mm","T","0.0","FUSE0603"
"IC1","SOIC127P600X170-9N","-39.4mm","194.3mm","-39.4mm","194.3mm","-39.4mm","194.3mm","T","0.0","TPS7B8650BQDDARQ1"
"IC2","SOT95P280X145-5N","-20.3mm","208.3mm","-20.3mm","208.3mm","-20.3mm","208.3mm","T","0.0","TLV9101IDBVR"
"IC3","SOT95P280X145-5N","-34.3mm","208.3mm","-34.3mm","208.3mm","-34.3mm","208.3mm","T","0.0","TLV9101IDBVR"
"L1","INDPM110100X400N","-109.2mm","165.1mm","-109.2mm","165.1mm","-109.2mm","165.1mm","T","0.0","10uH"
"LDO_AND_VOLTAGE_REFS:C1","C0603","-86.4mm","2.5mm","-86.4mm","2.5mm","-86.4mm","2.5mm","T","0.0","1uF"
"LDO_AND_VOLTAGE_REFS:C2","C0603","-114.3mm","2.5mm","-114.3mm","2.5mm","-114.3mm","2.5mm","T","0.0","1uF"
"LDO_AND_VOLTAGE_REFS:C3","C0603","-39.4mm","36.8mm","-39.4mm","36.8mm","-39.4mm","36.8mm","T","0.0","1uF"
"LDO_AND_VOLTAGE_REFS:C4","C0603","-67.3mm","36.8mm","-67.3mm","36.8mm","-67.3mm","36.8mm","T","0.0","1uF"
"LDO_AND_VOLTAGE_REFS:IC1","SOT95P280X145-5N","-83.8mm","47.0mm","-83.8mm","47.0mm","-83.8mm","47.0mm","T","0.0","TLV9101IDBVR"
"LDO_AND_VOLTAGE_REFS:IC2","SOT95P280X145-5N","-113.0mm","47.0mm","-113.0mm","47.0mm","-113.0mm","47.0mm","T","0.0","TLV9101IDBVR"
"LDO_AND_VOLTAGE_REFS:IC4","SOT95P280X145-5N","-27.9mm","52.1mm","-27.9mm","52.1mm","-27.9mm","52.1mm","T","0.0","TLV9101IDBVR"
"LDO_AND_VOLTAGE_REFS:Q1","SOT95P230X110-3N","-55.9mm","52.1mm","-55.9mm","52.1mm","-55.9mm","52.1mm","T","0.0","PBSS8110T,215"
"LDO_AND_VOLTAGE_REFS:R1","R0603","-95.3mm","36.8mm","-95.3mm","36.8mm","-95.3mm","36.8mm","T","0.0","5000"
"LDO_AND_VOLTAGE_REFS:R2","R0603","-123.2mm","36.8mm","-123.2mm","36.8mm","-123.2mm","36.8mm","T","0.0","1500"
"LDO_AND_VOLTAGE_REFS:R3","R0603","-39.4mm","41.9mm","-39.4mm","41.9mm","-39.4mm","41.9mm","T","0.0","2000000"
"LDO_AND_VOLTAGE_REFS:R4","R0603","-67.3mm","41.9mm","-67.3mm","41.9mm","-67.3mm","41.9mm","T","0.0","2000000"
"LDO_AND_VOLTAGE_REFS:R5","R0603","-95.3mm","41.9mm","-95.3mm","41.9mm","-95.3mm","41.9mm","T","0.0","5000"
"LDO_AND_VOLTAGE_REFS:R6","R0603","-123.2mm","41.9mm","-123.2mm","41.9mm","-123.2mm","41.9mm","T","0.0","1500"
"LDO_AND_VOLTAGE_REFS:R7","R0603","-39.4mm","47.0mm","-39.4mm","47.0mm","-39.4mm","47.0mm","T","0.0","0"
"LDO_AND_VOLTAGE_REFS:R8","R0603","-67.3mm","47.0mm","-67.3mm","47.0mm","-67.3mm","47.0mm","T","0.0","0"
"R1","R0603","-102.9mm","203.2mm","-102.9mm","203.2mm","-102.9mm","203.2mm","T","0.0","0"
"R2","R0603","-106.7mm","203.2mm","-106.7mm","203.2mm","-106.7mm","203.2mm","T","0.0","0"
"R3","R0603","-110.5mm","203.2mm","-110.5mm","203.2mm","-110.5mm","203.2mm","T","0.0","0"
"R4","R0603","-114.3mm","203.2mm","-114.3mm","203.2mm","-114.3mm","203.2mm","T","0.0","0"
"R5","R0603","-92.7mm","194.3mm","-92.7mm","194.3mm","-92.7mm","194.3mm","T","0.0","10000"
"R6","R0603","-99.1mm","194.3mm","-99.1mm","194.3mm","-99.1mm","194.3mm","T","0.0","10000"
"R7","R0603","-68.6mm","194.3mm","-68.6mm","194.3mm","-68.6mm","194.3mm","T","0.0","2000000"
"R8","R0603","-77.5mm","194.3mm","-77.5mm","194.3mm","-77.5mm","194.3mm","T","0.0","2000000"
"R9","R0603","-118.1mm","203.2mm","-118.1mm","203.2mm","-118.1mm","203.2mm","T","0.0","0"
"R10","R0603","-22.9mm","203.2mm","-22.9mm","203.2mm","-22.9mm","203.2mm","T","0.0","0"
"R11","R0603","-78.7mm","203.2mm","-78.7mm","203.2mm","-78.7mm","203.2mm","T","0.0","0"
"R12","R0603","-27.9mm","203.2mm","-27.9mm","203.2mm","-27.9mm","203.2mm","T","0.0","0"
"R13","R0603","-33.0mm","203.2mm","-33.0mm","203.2mm","-33.0mm","203.2mm","T","0.0","0"
"R14","R0603","-38.1mm","203.2mm","-38.1mm","203.2mm","-38.1mm","203.2mm","T","0.0","0"
"R15","R0603","-43.2mm","203.2mm","-43.2mm","203.2mm","-43.2mm","203.2mm","T","0.0","0"
"R16","R0603","-48.3mm","203.2mm","-48.3mm","203.2mm","-48.3mm","203.2mm","T","0.0","0"
"R17","R0603","-53.3mm","203.2mm","-53.3mm","203.2mm","-53.3mm","203.2mm","T","0.0","0"
"R18","R0603","-58.4mm","203.2mm","-58.4mm","203.2mm","-58.4mm","203.2mm","T","0.0","0"
"R19","R0603","-63.5mm","203.2mm","-63.5mm","203.2mm","-63.5mm","203.2mm","T","0.0","0"
"R20","R0603","-124.5mm","194.3mm","-124.5mm","194.3mm","-124.5mm","194.3mm","T","0.0","5000"
"R21","R0603","-17.8mm","203.2mm","-17.8mm","203.2mm","-17.8mm","203.2mm","T","0.0","1500"
"R22","R0603","-68.6mm","203.2mm","-68.6mm","203.2mm","-68.6mm","203.2mm","T","0.0","0"
"R23","R0603","-73.7mm","203.2mm","-73.7mm","203.2mm","-73.7mm","203.2mm","T","0.0","0"
"R24","R0603","-105.4mm","194.3mm","-105.4mm","194.3mm","-105.4mm","194.3mm","T","0.0","20000"
"THERMISTOR_THERMOPILE:IC1","SOT95P280X145-5N","-87.6mm","161.3mm","-87.6mm","161.3mm","-87.6mm","161.3mm","T","0.0","TLV9101IDBVR"
"THERMISTOR_THERMOPILE:Q1","SOT95P237X112-3N","-27.9mm","168.9mm","-27.9mm","168.9mm","-27.9mm","168.9mm","T","0.0","FMMT593TC"
"THERMISTOR_THERMOPILE:R1","R0603","-71.1mm","161.3mm","-71.1mm","161.3mm","-71.1mm","161.3mm","T","0.0","2000000"
"U1","32A_MCH","-64.8mm","73.7mm","-64.8mm","73.7mm","-64.8mm","73.7mm","T","0.0","ATMEGA328PB-AU"
