"Part";"Value";"Device";"Package";"Library";"Description";"AVAILABILITY";"CHECK_PRICES";"COMMENT";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PARTREV";"POPULARITY";"PRICE";"SNAPEDA_LINK";"SPICEPREFIX";"STANDARD";
"C1";"1uF";"C-USC0603";"C0603";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";"";
"C2";"1uF";"C-USC0603";"C0603";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";"";
"C3";"22uF";"C-USC0603";"C0603";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";"";
"C4";"100nF";"C-USC0603";"C0603";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";"";
"C5";"22uF";"C-USC0603";"C0603";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";"";
"C6";"1uF";"C-USC0603";"C0603";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";"";
"C7";"1uF";"C-USC0603";"C0603";"rcl";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"C";"";
"F11";"FUSE0603";"FUSE0603";"R0603";"Fuse_Custom";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"TPS7B8650BQDDARQ1";"TPS7B8650BQDDARQ1";"SOIC127P600X170-9N";"TPS7B8650BQDDARQ1";"LDO Voltage Regulators Automotive 500-mA, 40-V, ultra-low-IQ, low-dropout (LDO) linear regulator with power good 8-SO PowerPAD -40 to 150";"";"";"";"";"LDO Voltage Regulators Automotive 500-mA, 40-V, ultra-low-IQ, low-dropout (LDO) linear regulator with power good 8-SO PowerPAD -40 to 150";"1.7mm";"";"Texas Instruments";"TPS7B8650BQDDARQ1";"";"";"595-PS7B8650BQDDARQ1";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS7B8650BQDDARQ1?qs=ulEaXIWI0c8l2EN1AjsVkA%3D%3D";"";"";"";"";"";"";"";"";
"IC2";"TLV9101IDBVR";"TLV9101IDBVR";"SOT95P280X145-5N";"TLV9101IDBVR";"Single 1MHz, 16-V rail-to-rail input/output, low-offset voltage, low-power op amp";"";"";"";"";"Single 1MHz, 16-V rail-to-rail input/output, low-offset voltage, low-power op amp";"1.45mm";"";"Texas Instruments";"TLV9101IDBVR";"";"";"595-TLV9101IDBVR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV9101IDBVR?qs=P1JMDcb91o6ZLUyc%2FHtrGA%3D%3D";"";"";"";"";"";"";"";"";
"IC3";"TLV9101IDBVR";"TLV9101IDBVR";"SOT95P280X145-5N";"TLV9101IDBVR";"Single 1MHz, 16-V rail-to-rail input/output, low-offset voltage, low-power op amp";"";"";"";"";"Single 1MHz, 16-V rail-to-rail input/output, low-offset voltage, low-power op amp";"1.45mm";"";"Texas Instruments";"TLV9101IDBVR";"";"";"595-TLV9101IDBVR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV9101IDBVR?qs=P1JMDcb91o6ZLUyc%2FHtrGA%3D%3D";"";"";"";"";"";"";"";"";
"J1";"TSW-104-07-F-S";"TSW-104-07-F-S";"SAMTEC_TSW-104-07-F-S";"TSW-104-07-F-S";"";"";"";"";"";"";"";"Samtec";"";"";"";"";"";"";"";"";"R";"";"";"";"";"Manufacturer Recommendations";
"J2";"163-179PH-EX";"163-179PH-EX";"163179PHEX";"163-179PH-EX";"DC Power Connectors PCB 2.1MM";"";"";"";"";"DC Power Connectors PCB 2.1MM";"11mm";"";"Kobiconn";"163-179PH-EX";"";"";"163-179PH-EX";"https://www.mouser.co.uk/ProductDetail/Kobiconn/163-179PH-EX?qs=Xb8IjHhkxj5l2UOaIqcGCw%3D%3D";"";"";"";"";"";"";"";"";
"J3";"RS1-02-G";"RS1-02-G";"CONN_RS1-02-G_ADM";"RS1-02-G";"";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"RS1-02-G";"";"ADAM TECHNOLOGIES INC";"";"";"";"";"";"";"";"";"";"";
"L1";"10uH";"SRP1038CC-100M";"INDPM110100X400N";"SRP1038CC-100M";"Ind,11x10x3.8mm,10uH+/-20%,8.5A,shd";"";"";"";"";"Ind,11x10x3.8mm,10uH+/-20%,8.5A,shd";"4mm";"";"Bourns";"SRP1038CC-100M";"";"";"652-SRP1038CC-100M";"https://www.mouser.co.uk/ProductDetail/Bourns/SRP1038CC-100M?qs=1Kr7Jg1SGW%252BXHFZ7Gpw7DQ%3D%3D";"";"";"";"";"";"";"";"";
"R1";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R2";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R3";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R4";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R5";"10000";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R6";"10000";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R7";"2000000";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R8";"2000000";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R9";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R10";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R11";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R12";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R13";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R14";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R15";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R16";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R17";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R18";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R19";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R20";"5000";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R21";"1500";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R22";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R23";"0";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"R24";"20000";"R-US_R0603";"R0603";"rcl";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"R";"";
"SW1";"1825910-6";"1825910-6";"SW_1825910-6-4";"1825910-6";"Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 100000Cycles 1.57N Thru-Hole Loose Check availability";"In Stock";"https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda";"1825910-6";"";" Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole ";"";"";"";"";"TE Connectivity";"";"";"";"1825910-6";"None";"";"";"None";"https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap";"";"";
"SW2";"1825910-6";"1825910-6";"SW_1825910-6-4";"1825910-6";"Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 100000Cycles 1.57N Thru-Hole Loose Check availability";"In Stock";"https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda";"1825910-6";"";" Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole ";"";"";"";"";"TE Connectivity";"";"";"";"1825910-6";"None";"";"";"None";"https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap";"";"";
"SW3";"1825910-6";"1825910-6";"SW_1825910-6-4";"1825910-6";"Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 100000Cycles 1.57N Thru-Hole Loose Check availability";"In Stock";"https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda";"1825910-6";"";" Switch Push Button OFF (ON) SPST Round Button 0.05A 24VDC Momentary Contact PC Pins Thru-Hole ";"";"";"";"";"TE Connectivity";"";"";"";"1825910-6";"None";"";"";"None";"https://www.snapeda.com/parts/1825910-6/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap";"";"";
"U1";"ATMEGA328PB-AU";"ATMEGA328PB-AU";"32A_MCH";"ATMEGA328PB_AU32A";"";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"ATMEGA328PB-AU";"";"Microchip";"";"";"";"";"";"";"";"";"";"";
